tag,related,new_tag,tag_global,related_global
SNBU(song),"Biophony,Bird,Passerine,SNBU",,SNBU,"Biophony,Bird,Passerine"
SNBU(trill),"Biophony,Bird,Passerine,SNBU",,SNBU,"Biophony,Bird,Passerine"
SNGO,"Biophony,Bird,Goose",,SNGO,"Biophony,Bird,Goose"
SPEI,"Biophony,Bird,Duck",,SPEI,"Biophony,Bird,Duck"
Sandpiper,"Biophony,Bird,Shorebird",,Sandpiper,"Biophony,Bird,Shorebird"
Sandpiper (chip),"Biophony,Bird,Shorebird,Sandpiper",,Sandpiper,"Biophony,Bird,Shorebird"
Sandpiper (chirp),"Biophony,Bird,Shorebird,Sandpiper",,Sandpiper,"Biophony,Bird,Shorebird"
Sandpiper(trill),"Biophony,Bird,Shorebird,Sandpiper",,Sandpiper,"Biophony,Bird,Shorebird"
Shorebird,"Biophony,Bird",,Shorebird,"Biophony,Bird"
Shorebird(chirp),"Biophony,Bird,Shorebird",,Shorebird,"Biophony,Bird"
Shorebird(song),"Biophony,Bird,Shorebird",,Shorebird,"Biophony,Bird"
TUSW,"Biophony,Bird",,TUSW,"Biophony,Bird"
UNKN,"Biophony,Bird",,UNKN,"Biophony,Bird"
UNKN (chirp),"Biophony,Bird,UNKN",,UNKN,"Biophony,Bird"
UNKN (song),"Biophony,Bird,UNKN",,UNKN,"Biophony,Bird"
UNKN (trill),"Biophony,Bird,UNKN",,UNKN,"Biophony,Bird"
WRSA,"Biophony,Bird,Shorebird,Sandpiper",,WRSA,"Biophony,Bird,Shorebird,Sandpiper"
WRSA_1(boingboingboing),"Biophony,Bird,Shorebird,Sandpiper,WRSA",,WRSA,"Biophony,Bird,Shorebird,Sandpiper"
WRSA_2(chirp),"Biophony,Bird,Shorebird,Sandpiper,WRSA",,WRSA,"Biophony,Bird,Shorebird,Sandpiper"
Wings,"Biophony,Bird",,Wings,"Biophony,Bird"
Unknow sound,,Unknown sound,Unknown sound,
Wind,Geophony,,Wind,Geophony
BTGO(chirp),"Biophony,Bird,Shorebird,BTGO",,BTGO,"Biophony,Bird,Shorebird"
BTGO,"Biophony,Bird,Shorebird",,BTGO,"Biophony,Bird,Shorebird"
Geophony,,,Geophony,
Rain,Geophony,,Rain,Geophony
Dog?,Biophony,,Biophony,Biophony
Biophony,,,,
Anthropophony,,,Anthropophony,
